form	lemma	POS	morph
·ns		PRO^D^1^PL	
membren		VBDI^3^PL	
.		.	
Mas		CONJ	
cada		D^Q	
·i·		NUM	
entrava		VBDI^3^SG	
on		C	
abans		N	
podia		VBDI^3^SG	
.		.	
E		CONJ	
havia		VBDI^3^SG	
·n		PRO^ADV	
·c·		NUM	
en		P	
la		D	
ost		N	
o		CONJ	
pus		ADV	
,		COMMA	
que		C	
,		COMMA	
si		C	
poguessen		VBDS^3^PL	
entrar		VB	
primer		ADV	
,		COMMA	
que		C	
faeren		VBDI^3^PL	
ço		PRO^3^SG	
que		C	
·l		D	
primer		ADV	
féu		VBDI^3^SG	
.		.	
Ab		CONJ	
tant		ADV	
fou		VBDI^3^SG	
vengut		VNI	
lo		D	
rey		N	
de		P	
Maylorques		NPR	
cavalcan		VG	
en		P	
·i·		NUM	
caval		N	
blanch		ADJ	
,		COMMA	
e		CONJ	
él		PRO^3^SG	
havia		VBDI^3^SG	
nom		N	
Xech		NPR	
Abohehie		NPR	
;		;	
e		CONJ	
cridà		VBDI^3^SG	
los		D	
seus		D^POS	
:		:	
Roddo!		NPR	
,		COMMA	
que		C	
vol		VBPI^3^SG	
tan		ADV	
dir		VB	
chon		C	
:		:	
Estar!		N	
.		.	
E		CONJ	
en		P	
aquels		D^DEM	
de		P	
peu		N	
dels		P+D	
chrestians		ADJ	
ach		VBDI^3^SG	
bé		ADV	
·xx·		NUM	
o		CONJ	
·xxx·		NUM	
qui		C	
tenien		VBDI^3^PL	
los		D	
escuts		N	
abraçats		VNI	
e		CONJ	
d’		P	
altres		D^Q	
servents		N	
que		C	
y		PRO^ADV	
havia		VBDI^3^SG	
mesclats		VNI	
ab		P	
éls		PRO^3^PL	
;		;	
e		CONJ	
de		P	
l’		D	
altra		D^Q	
part		N	
estaven		VBDI^3^PL	
los		D	
sarraïns		N	
ab		P	
les		D	
adargues		N	
e		CONJ	
espaes		N	
treytes		VNI	
de		P	
la		D	
·i_a·		D^Q	
e		CONJ	
de		P	
la		D	
altra		D^Q	
part		N	
e		CONJ	
no		NEG	
·s		PRO^RFL^3^PL	
gosaven		VBDI^3^PL	
escometre		VB	
.		.	
E		CONJ	
,		COMMA	
cant		C	
entraren		VBDI^3^PL	
los		D	
cavalers		N	
ab		P	
los		D	
cavals		N	
garnits		VNI	
,		COMMA	
anaren		VBDI^3^PL	
-los		PRO^A^3^PL	
ferir		VB	
.		.	
E		CONJ	
era		VBDI^3^SG	
tanta		D^Q	
la		D	
multitut		N	
de		P	
la		D	
gent		N	
dels		P+D	
sarraïns		N	
,		COMMA	
que		C	
·ls		D	
pararen		VBDI^3^PL	
les		D	
lances		N	
,		COMMA	
e		CONJ	
els		D	
cavals		N	
dreçaren		VBDI^3^PL	
-se		PRO^RFL^3^PL	
per		P	
ço		PRO^3^SG	
car		C	
no		NEG	
podien		VBDI^3^PL	
passar		VB	
per		P	
la		D	
espessea		N	
de		P	
les		D	
lançes		N	
,		COMMA	
sí		ADV	
que		C	
agren		VBDI^3^PL	
a		P	
fer		VB	
la		D	
volta		N	
.		.	
E		CONJ	
en		P	
tant		ADV	
feyta		VNI	
la		D	
volta		N	
,		COMMA	
tiraren		VBDI^3^PL	
-se		PRO^RFL^3^PL	
atràs		ADV	
·i·		NUM	
poch		ADV	
e		CONJ	
anaren		VBDI^3^PL	
entrar		VB	
los		D	
cavals		N	
tant		ADV	
,		COMMA	
que		C	
n’		PRO^ADV	
hi		PRO^ADV	
ach		VBDI^3^SG	
bé		ADV	
de		P	
·xl·		NUM	
tro		P	
a		P	
·l·		NUM	
.		.	
E		CONJ	
·ls		D	
FOL50r		FOL	
cavalers		N	
e		CONJ	
·ls		D	
hòmens		N	
de		P	
peu		N	
que		C	
y		PRO^ADV	
eren		VBDI^3^PL	
escudats		VNI	
eren		VBDI^3^PL	
tant		ADV	
prop		P	
dels		P+D	
sarraïns		N	
,		COMMA	
que		C	
ab		P	
les		D	
espaes		N	
se		PRO^RFL^3^PL	
cuydaven		VBDI^3^PL	
ferir		VB	
los		D	
uns		D^Q	
e		CONJ	
·ls		D	
altres		D^Q	
,		COMMA	
sí		ADV	
que		C	
negú		PRO^Q	
no		NEG	
gosava		VBDI^3^SG	
traure		VB	
·l		D	
braç		N	
per		P	
paor		N	
que		C	
d’		P	
altra		D^Q	
part		N	
vingués		VBDS^3^SG	
espaa		N	
que		C	
·l		D	
ferís		VBDS^3^SG	
en		P	
la		D	
mà		N	
.		.	
E		CONJ	
ab		P	
aytant		ADV	
los		D	
cavalers		N	
foren		VBDI^3^PL	
ja		ADV	
bé		ADV	
·xl·		NUM	
tro		P	
a		P	
·l·		NUM	
ab		P	
los		D	
cavals		N	
armats		VNI	
e		CONJ	
endreçaren		VBDI^3^PL	
-se		PRO^RFL^3^PL	
contra		P	
·ls		D	
sarraïns		N	
e		CONJ	
cridaren		VBDI^3^PL	
tots		PRO^Q	
a		P	
una		D^Q	
vou		N	
:		:	
Ajuda		NPR	
-nos		PRO^D^1^PL	
,		COMMA	
Sancta		ADJ	
Maria		NPR	
,		COMMA	
Mare		NPR	
de		P	
Nostre		D^POS	
Seyor!		NPR	
e		CONJ	
cridàvem		VBDI^1^PL	
:		:	
Vergonya		N	
,		COMMA	
cavalers!”		N	
e		CONJ	
anam		VBDI^1^PL	
-los		PRO^A^3^PL	
ferir		VB	
e		CONJ	
esveÿm		VBDI^1^PL	
-los		PRO^A^3^PL	
.		.	
E		CONJ	
,		COMMA	
quan		C	
los		D	
sarraïns		N	
de		P	
la		D	
vila		N	
viren		VBDI^3^PL	
que		C	
la		D	
ciutat		N	
s’		PRO^RFL^3^SG	
envehia		VBDI^3^SG	
,		COMMA	
exiren		VBDI^3^PL	
-se		PRO^RFL^3^PL	
entre		P	
hòmens		N	
e		CONJ	
fembres		N	
ben		ADV	
·xxx·		NUM	
mília		NUM	
per		P	
·ii·		NUM	
portes		N	
,		COMMA	
per		P	
la		D	
porta		N	
del		P+D	
Barbelet		NPR	
e		CONJ	
la		D	
porta		N	
de		P	
Portupí		NPR	
,		COMMA	
e		CONJ	
anaren		VBDI^3^PL	
-se		PRO^RFL^3^PL	
·n		PRO^ADV	
a		P	
la		D	
muntanya		N	
.		.	
E		CONJ	
era		VBDI^3^SG	
tant		ADV	
l’		D	
aver		N	
e		CONJ	
·l		D	
goany		N	
que		C	
·ls		D	
cavalers		N	
e		CONJ	
·ls		D	
hòmens		N	
de		P	
peu		N	
veÿen		VBDI^3^PL	
per		P	
la		D	
ciutat		N	
,		COMMA	
que		C	
no		NEG	
havien		VBDI^3^PL	
cura		N	
d’		P	
aquels		D^DEM	
que		C	
·s		PRO^RFL^3^PL	
n’		PRO^ADV	
anaven		VBDI^3^PL	
.		.	
E		CONJ	
·l		D	
derrer		ADJ	
sarraý		N	
qui		C	
d’		P	
aquel		D^DEM	
loch		N	
se		PRO^RFL^3^SG	
partí		VBDI^3^SG	
fo		VBDI^3^SG	
lo		D	
rey		N	
de		P	
Maylorqes		NPR	
.		.	
E		CONJ	
els		D	
altres		D^Q	
sarraïns		N	
,		COMMA	
quan		C	
viren		VBDI^3^PL	
que		C	
aquel		D^DEM	
loch		N	
havien		VBDI^3^PL	
esvaït		VNI	
los		D	
cavalers		N	
ab		P	
cavals		N	
armats		VNI	
e		CONJ	
·ls		D	
hòmens		N	
de		P	
peu		N	
,		COMMA	
anaren		VBDI^3^PL	
-se		PRO^RFL^3^PL	
amagar		VB	
per		P	
les		D	
cases		N	
,		COMMA	
cascú		PRO^Q	
con		C	
mils		ADV	
podia		VBDI^3^SG	
;		;	
e		CONJ	
no		NEG	
s’		PRO^RFL^3^SG	
amagaren		VBDI^3^PL	
tant		ADV	
bé		ADV	
que		C	
·xx·		NUM	
míllia		N	
no		NEG	
n’		PRO^ADV	
í		PRO^ADV	
morissen		VBDS^3^PL	
a		P	
l’		D	
entrar		VB	
,		COMMA	
sí		ADV	
que		C	
,		COMMA	
cant		C	
nós		PRO^1^PL	
fom		VBDI^1^PL	
a		P	
la		D	
porta		N	
de		P	
la		D	
Almudayna		NPR	
,		COMMA	
trobam		VBDI^1^PL	
-ne		PRO^ADV	
bé		ADV	
·ccc·		NUM	
morts		VNI	
que		C	
,		COMMA	
cant		C	
se		PRO^RFL^3^PL	
cuydaven		VBDI^3^PL	
recuylir		VB	
en		P	
la		D	
Almudayna		NPR	
,		COMMA	
los		D	
altres		D^Q	
tancaven		VBDI^3^PL	
la		D	
porta		N	
,		COMMA	
e		CONJ	
venien		VBDI^3^PL	
los		D	
nostres		D^POS	
chrestians		ADJ	
e		CONJ	
oceÿen		VBDI^3^PL	
-los		PRO^A^3^PL	
.		.	
E		CONJ	
,		COMMA	
quan		C	
nós		PRO^1^PL	
fom		VBDI^1^PL	
aquí		ADV	
,		COMMA	
éls		PRO^3^PL	
no		NEG	
·s		PRO^RFL^3^PL	
deffeneren		VBDI^3^PL	
;		;	
mas		CONJ	
dix		VBDI^3^SG	
-nos		PRO^D^1^PL	
·i·		NUM	
sarraí		VBDI^3^SG	
,		COMMA	
qui		C	
sabia		VBDI^3^SG	
nostre		D^POS	
latí		N	
,		COMMA	
que		C	
·ls		PRO^D^3^PL	
donàssem		VBDS^1^PL	
hòmens		N	
que		C	
·ls		PRO^A^3^PL	
guardassen		VBDS^3^PL	
de		P	
mort		N	
,		COMMA	
e		CONJ	
que		C	
retrien		VBPC^3^PL	
l’		D	
Almudayna		NPR	
.		.	
E		CONJ	
,		COMMA	
nós		PRO^1^PL	
estan		VG	
en		P	
aquestes		D^DEM	
paraules		N	
,		COMMA	
vengueren		VBDI^3^PL	
-nos		PRO^D^1^PL	
·ii·		NUM	
hòmens		N	
de		P	
Torthosa		NPR	
e		CONJ	
dixeren		VBDI^3^PL	
-nos		PRO^D^1^PL	
que		C	
volien		VBDI^3^PL	
parlar		VB	
ab		P	
nós		PRO^1^PL	
per		P	
gran		ADJ	
nostre		D^POS	
prou		N	
.		.	
E		CONJ	
nós		PRO^1^PL	
tiram		VBDI^1^PL	
-nos		PRO^RFL^1^PL	
a		P	
una		D^Q	
part		N	
e		CONJ	
escoltam		VBDI^1^PL	
-los		PRO^A^3^PL	
,		COMMA	
e		CONJ	
FOL50v		FOL	
dixeren		VBDI^3^PL	
que		C	
,		COMMA	
si		C	
·ls		PRO^D^3^PL	
faýem		VBDI^1^PL	
per		P	
què		WPRO	
,		COMMA	
qu’		C	
éls		PRO^3^PL	
nos		PRO^D^1^PL	
darien		VBPC^3^PL	
lo		D	
rey		N	
de		P	
Maylorques		NPR	
.		.	
E		CONJ	
nós		PRO^1^PL	
dixem		VBDI^1^PL	
-los		PRO^D^3^PL	
què		WPRO	
·n		PRO^ADV	
demanaven		VBDI^3^PL	
,		COMMA	
e		CONJ	
éls		PRO^3^PL	
dixeren		VBDI^3^PL	
que		C	
bé		ADV	
·n		PRO^ADV	
volien		VBDI^3^PL	
·ii·		NUM	
mília		NUM	
libr		P	
.		.	
E		CONJ	
nós		PRO^1^PL	
dixem		VBDI^1^PL	
-los		PRO^D^3^PL	
que		C	
sobre		P	
·n		PRO^ADV	
demanaven		VBDI^3^PL	
,		COMMA	
que		C	
,		COMMA	
pus		C	
en		P	
la		D	
vila		N	
era		VBDI^3^SG	
,		COMMA	
a		P	
la		D	
derreria		N	
nós		PRO^1^PL	
l’		PRO^A^3^SG	
auríem		VBPC^1^PL	
;		;	
mas		CONJ	
,		COMMA	
per		P	
ço		PRO^3^SG	
que		C	
no		NEG	
presés		VBDS^3^SG	
mal		N	
,		COMMA	
dar		VB	
n’		PRO^ADV	
íem		VBPC^1^PL	
·m·		NUM	
liures		N	
.		.	
E		CONJ	
éls		PRO^3^PL	
dixeren		VBDI^3^PL	
que		C	
·ls		PRO^D^3^PL	
plaïa		VBDI^3^SG	
.		.	
E		CONJ	
lexam		VBDI^1^PL	
·i·		NUM	
rich		ADJ	
hom		N	
en		P	
nostre		D^POS	
loch		N	
,		COMMA	
e		CONJ	
manam		VBDI^1^PL	
que		C	
nuyl		D^Q	
hom		N	
no		NEG	
combatés		VBDS^3^SG	
l’		D	
Almudayna		NPR	
tro		P	
que		C	
nós		PRO^1^PL	
tornàssem		VBDS^1^PL	
.		.	
E		CONJ	
demanam		VBDI^1^PL	
a		P	
Don		DPR	
Nuno		NPR	
e		CONJ	
dixem		VBDI^1^PL	
-li		PRO^D^3^SG	
que		C	
·l		D	
rey		N	
de		P	
Maylorques		NPR	
havíem		VBDI^1^PL	
trobat		VNI	
e		CONJ	
que		C	
·n		PRO^ADV	
vingués		VBDS^3^SG	
ab		P	
nós		PRO^1^PL	
,		COMMA	
e		CONJ	
dix		VBDI^3^SG	
él		PRO^3^SG	
que		C	
molt		ADV	
li		PRO^D^3^SG	
plaÿa		VBDI^3^SG	
.		.	
E		CONJ	
anam		VBDI^1^PL	
-hi		PRO^ADV	
,		COMMA	
e		CONJ	
menaren		VBDI^3^PL	
-nos		PRO^D^1^PL	
a		P	
la		D	
casa		N	
on		C	
él		PRO^3^SG	
era		VBDI^3^SG	
;		;	
e		CONJ	
descavalgam		VBDI^1^PL	
nós		PRO^1^PL	
e		CONJ	
Don		DPR	
Nuno		NPR	
,		COMMA	
guarnits		VNI	
,		COMMA	
e		CONJ	
entram		VBDI^1^PL	
en		P	
la		D	
casa		N	
;		;	
e		CONJ	
estaven		VBDI^3^PL	
-li		PRO^D^3^SG	
·iii·		NUM	
exortiquins		N	
denant		P	
ab		P	
ses		D^POS	
atzegayes		N	
.		.	
E		CONJ	
,		COMMA	
can		C	
fom		VBDI^1^PL	
de		P	
prop		P	
d’		P	
él		PRO^3^SG	
,		COMMA	
levà		VBDI^3^SG	
·s		PRO^RFL^3^SG	
ab		P	
sa		D^POS	
capa		N	
blancha		ADJ	
,		COMMA	
però		CONJ	
vestia		VBDI^3^SG	
·i·		NUM	
gonió		N	
dejús		P	
la		D	
capa		N	
,		COMMA	
dejús		P	
guardacors		N	
que		C	
vestia		VBDI^3^SG	
de		P	
xapsir		N	
blanch		ADJ	
.		.	
E		CONJ	
faem		VBDI^1^PL	
-li		PRO^D^3^SG	
dir		VB	
en		P	
algaravia		N	
a		P	
·i·		D^Q	
d’		P	
aquels		D^DEM	
·ii·		NUM	
hòmens		N	
de		P	
Tortosa		N	
que		C	
nós		PRO^1^PL	
li		PRO^D^3^SG	
lexaríem		VBPC^1^PL	
·ii·		NUM	
cavallers		N	
e		CONJ	
de		P	
nostres		D^POS	
hòmens		N	
e		CONJ	
que		C	
no		NEG	
hagués		VBDS^3^SG	
reguart		N	
,		COMMA	
pus		C	
en		P	
nostre		D^POS	
poder		N	
era		VBDI^3^SG	
,		COMMA	
que		C	
ja		ADV	
no		NEG	
morria		VBPC^3^SG	
.		.	
E		CONJ	
sobre		P	
açò		PRO^3^SG	
lexam		VBDI^1^PL	
-hi		PRO^ADV	
de		P	
nostres		D^POS	
hòmens		N	
que		C	
no		NEG	
·l		PRO^A^3^SG	
tocassen		VBDS^3^PL	
.		.	
E		CONJ	
nós		PRO^1^PL	
tornam		VBDI^1^PL	
a		P	
la		D	
porta		N	
de		P	
la		D	
Almudayna		NPR	
e		CONJ	
dixem		VBDI^1^PL	
-los		PRO^D^3^PL	
que		C	
·ns		PRO^D^1^PL	
dessen		VBDS^3^PL	
ostatge		N	
e		CONJ	
que		C	
exissen		VBDS^3^PL	
al		P+D	
mur		N	
veyl		ADJ	
e		CONJ	
que		C	
parlassen		VBDS^3^PL	
ab		P	
nós		PRO^1^PL	
.		.	
E		CONJ	
tragueren		VBDI^3^PL	
-nos		PRO^D^1^PL	
lo		D	
fiyl		N	
del		P+D	
rey		N	
de		P	
Maylorques		NPR	
,		COMMA	
qui		C	
podia		VBDI^3^SG	
haver		VB	
tro		P	
·xiii·		NUM	
ayns		N	
,		COMMA	
e		CONJ	
dixeren		VBDI^3^PL	
que		C	
aquesta		D^DEM	
era		VBDI^3^SG	
la		D	
fiança		N	
que		C	
·ns		PRO^D^1^PL	
daven		VBDI^3^PL	
e		CONJ	
que		C	
·ns		PRO^D^1^PL	
hobririen		VBPC^3^PL	
la		D	
porta		N	
,		COMMA	
e		CONJ	
que		C	
guardàssem		VBDS^1^PL	
qui		C	
hi		PRO^ADV	
metríem		VBPC^1^PL	
.		.	
E		CONJ	
metem		VBDI^1^PL	
-hi		PRO^ADV	
·ii·		NUM	
frares		N	
prehicadors		ADJ	
que		C	
guardassen		VBDS^3^PL	
les		D	
cases		N	
del		P+D	
rey		N	
e		CONJ	
·l		D	
tresaur		N	
,		COMMA	
e		CONJ	
·x·		NUM	
cavalers		N	
ab		P	
éls		PRO^3^PL	
,		COMMA	
bons		ADJ	
e		CONJ	
savis		ADJ	
,		COMMA	
tals		ADJ	
,		COMMA	
que		C	
ajudassen		VBDS^3^PL	
ab		P	
sos		D^POS	
escuders		N	
a		P	
guardar		VB	
e		CONJ	
a		P	
vetlar		VB	
l’		D	
Almudayna		NPR	
,		COMMA	
car		C	
nós		PRO^1^PL	
érem		VBDI^1^PL	
tots		PRO^Q	
enujats		VNI	
e		CONJ	
volíem		VBDI^1^PL	
-nos		PRO^RFL^1^PL	
reposar		VB	
,		COMMA	
e		CONJ	
era		VBDI^3^SG	
ja		ADV	
lo		D	
sol		N	
post		VNI	
.		.	
E		CONJ	
al		P+D	
matí		N	
nós		PRO^1^PL	
regoneguem		VBDI^1^PL	
nostres		D^POS	
coses		N	
e		CONJ	
volíem		VBDI^1^PL	
-hi		PRO^ADV	
dar		VB	
recapte		N	
.		.	
E		CONJ	
vejats		VBI^2^PL	
con		C	
ho		PRO^A^NTR	
aguisà		VBDI^3^SG	
Nostre		D^POS	
Seyor		N	
:		:	
que		C	
tots		D^Q	
los		D	
de		P	
la		D	
FOL51r		FOL	
ost		N	
trobaven		VBDI^3^SG	
tant		ADV	
que		C	
pendre		VB	
,		COMMA	
que		C	
la		D	
·i·		NUM	
no		NEG	
havia		VBDI^3^SG	
contrast		N	
ab		P	
l’		D	
altre		D^Q	
,		COMMA	
que		C	
cascú		PRO^Q	
cuydava		VBDI^3^SG	
ésser		VB	
pus		ADV	
rich		ADJ	
que		C	
l’		D	
altre		D^Q	
.		.	
E		CONJ	
Don		DPR	
Ladró		NPR	
,		COMMA	
·i·		NUM	
rich		ADJ	
hom		N	
qui		C	
era		VBDI^3^SG	
ab		P	
nós		PRO^1^PL	
,		COMMA	
covidà		VBDI^3^SG	
·ns		PRO^D^1^PL	
e		CONJ	
dix		VBDI^3^SG	
-nos		PRO^D^1^PL	
que		C	
·i·		NUM	
home		N	
seu		D^POS	
li		PRO^D^3^SG	
era		VBDI^3^SG	
vengut		VNI	
e		CONJ	
deÿa		VBDI^3^SG	
que		C	
havia		VBDI^3^SG	
bona		ADJ	
casa		N	
e		CONJ	
havia		VBDI^3^SG	
adobat		VNI	
de		P	
menjar		VB	
de		P	
bona		ADJ	
vaca		N	
,		COMMA	
e		CONJ	
que		C	
là		ADV	
poríem		VBPC^1^PL	
jaure		VB	
.		.	
E		CONJ	
dixem		VBDI^1^PL	
-li		PRO^D^3^SG	
nós		PRO^1^PL	
que		C	
molt		ADV	
li		PRO^D^3^SG	
ó		PRO^A^NTR	
grahíem		VBDI^1^PL	
e		CONJ	
que		C	
hi		PRO^ADV	
anàssem		VBDS^1^PL	
.		.	
E		CONJ	
,		COMMA	
quant		C	
vench		VBDI^3^SG	
al		P+D	
matí		N	
,		COMMA	
anch		ADV	
negun		D^Q	
hom		N	
de		P	
casa		N	
nostra		D^POS	
no		NEG	
tornà		VBDI^3^SG	
a		P	
nós		PRO^1^PL	
,		COMMA	
ne		CONJ+NEG	
puys		ADV	
per		P	
·viii·		NUM	
dies		N	
,		COMMA	
que		C	
cada		D^Q	
·i·		NUM	
tenia		VBDI^3^SG	
ço		PRO^3^SG	
que		C	
havia		VBDI^3^SG	
pres		VNI	
e		CONJ	
plaÿa		VBDI^3^SG	
-li		PRO^D^3^SG	
tant		ADV	
,		COMMA	
que		C	
negú		PRO^Q	
no		NEG	
volia		VBDI^3^SG	
tornar		VB	
a		P	
nós		PRO^1^PL	
.		.	
E		CONJ	
,		COMMA	
la		D	
vila		N	
presa		VNI	
,		COMMA	
açò		PRO^3^SG	
feyt		VNI	
,		COMMA	
ajustaren		VBDI^3^PL	
-se		PRO^RFL^3^PL	
los		D	
bisbes		N	
e		CONJ	
·ls		D	
richs		ADJ	
hòmens		N	
e		CONJ	
dixeren		VBDI^3^PL	
que		C	
volien		VBDI^3^PL	
parlar		VB	
ab		P	
nós		PRO^1^PL	
.		.	
E		CONJ	
dixeren		VBDI^3^PL	
que		C	
·s		PRO^RFL^3^SG	
faés		VBDS^3^SG	
encant		N	
dels		P+D	
moros		N	
e		CONJ	
de		P	
la		D	
roba		N	
que		C	
y		PRO^ADV	
era		VBDI^3^SG	
e		CONJ	
de		P	
totes		D^Q	
les		D	
coses		N	
.		.	
E		CONJ	
nós		PRO^1^PL	
dixem		VBDI^1^PL	
-los		PRO^D^3^PL	
que		C	
no		NEG	
u		PRO^A^NTR	
teníem		VBDI^1^PL	
per		P	
bo		ADJ	
per		P	
aquesta		D^DEM	
raó		N	
:		:	
que		C	
l’		D	
encant		N	
duraria		VBPC^3^SG	
molt		ADV	
,		COMMA	
e		CONJ	
que		C	
valria		VBPC^3^SG	
més		ADV	
que		C	
ab		P	
la		D	
pahor		N	
que		C	
·ls		D	
sarraïns		N	
havien		VBDI^3^PL	
ladonch		ADV	
,		COMMA	
que		C	
conquerís		VBDS^3^SG	
hom		MAN	
les		D	
montanyes		N	
e		CONJ	
que		C	
partissen		VBDS^3^PL	
la		D	
roba		N	
.		.	
E		CONJ	
dixeren		VBDI^3^PL	
éls		PRO^3^PL	
:		:	
E		CONJ	
con		C	
se		PRO^RFL^3^SG	
partiria		VBPC^1^SG	
la		D	
roba		N	
?		?	
e		CONJ	
nós		PRO^1^PL	
dixem		VBDI^1^PL	
que		C	
per		P	
cadrelles		N	
:		:	
E		CONJ	
,		COMMA	
si		C	
partim		VBDI^1^PL	
los		D	
sarraïns		N	
e		CONJ	
la		D	
roba		N	
tost		ADV	
,		COMMA	
que		C	
la		D	
gent		N	
serà		VBFI^3^SG	
pagada		VNI	
.		.	
açò		PRO^3^SG	
fer		VB	
s’		PRO^RFL^3^SG	
à		VBPI^3^SG	
en		P	
·viii·		NUM	
dies		N	
,		COMMA	
e		CONJ	
depuys		ADV	
anem		VBPI^1^PL	
sobre		P	
·ls		D	
sarraïns		N	
de		P	
fora		N	
e		CONJ	
conquiram		VBPI^1^PL	
-los		PRO^D^3^PL	
;		;	
e		CONJ	
retinguam		VBPI^1^PL	
l’		D	
aver		N	
per		P	
a		P	
les		D	
galees		N	
,		COMMA	
e		CONJ	
farem		VBFI^1^PL	
meylor		ADJ	
sen		N	
que		C	
nós		PRO^1^PL	
fer		VB	
puscam		VBPS^1^PL	
.		.	
E		CONJ	
En		DPR	
Nuno		NPR	
e		CONJ	
En		DPR	
Bernat		NPR	
de		P	
Sancta		ADJ	
Eugènia		NPR	
e		CONJ	
·l		D	
bisbe		N	
de		P	
Barçelona		NPR	
e		CONJ	
·l		PRO^A^3^SG	
sagristà		N	
volien		VBDI^3^PL	
l’		D	
encant		N	
de		P	
tot		PRO^Q	
en		P	
tot		PRO^Q	
;		;	
e		CONJ	
tenien		VBDI^3^PL	
-se		PRO^RFL^3^PL	
tots		PRO^Q	
en		P	
·i·		NUM	
,		COMMA	
per		P	
tal		ADV	
que		C	
cuydaven		VBDI^3^PL	
enganar		VB	
tots		D^Q	
los		D	
altres		D^Q	
ab		P	
lur		D^POS	
saber		VB	
,		COMMA	
per		P	
ço		PRO^3^SG	
car		C	
ne		CONJ+NEG	
sabien		VBDI^3^PL	
més		ADV	
que		C	
·ls		D	
de		P	
la		D	
ost		N	
e		CONJ	
no		NEG	
veÿen		VBDI^3^PL	
la		D	
lur		D^POS	
volentat		N	
.		.	
E		CONJ	
deýem		VBDI^1^PL	
-los		PRO^D^3^PL	
:		:	
Veets		VBI^2^PL	
,		COMMA	
aquest		D^DEM	
encant		N	
no		NEG	
serà		VBFI^3^SG	
encant		N	
,		COMMA	
que		C	
engan		N	
serà		VBFI^3^SG	
,		COMMA	
que		C	
nós		PRO^1^PL	
havem		VBPI^1^PL	
paor		N	
que		C	
no		NEG	
·s		PRO^RFL^3^SG	
tart		VBDI^3^SG	
tant		ADV	
,		COMMA	
que		C	
los		D	
sarraïns		N	
no		NEG	
s’		PRO^RFL^3^SG	
enfortesquen		VBPS^3^PL	
,		COMMA	
e		CONJ	
puys		ADV	
no		NEG	
·ls		D	
porem		VBFI^1^PL	
conquerir		VB	
tan		ADV	
leu		ADV	
;		;	
e		CONJ	
valria		VBPC^3^SG	
més		ADV	
que		C	
ara		ADV	
ab		P	
la		D	
paor		N	
que		C	
àn		VBPI^3^PL	
los		D	
conqueríssem		VBDS^1^PL	
,		COMMA	
que		C	
no		NEG	
puys		ADV	
,		COMMA	
quant		C	
se		PRO^RFL^3^PL	
seran		VBFI^3^PL	
regonoguts		VNI	
.		.	
E		CONJ	
FOL51v		FOL	
dixeren		VBDI^3^PL	
éls		PRO^3^PL	
per		P	
què		WPRO	
y		PRO^ADV	
contrastàvem		VBDI^1^PL	
,		COMMA	
que		C	
açò		PRO^3^SG	
valia		VBDI^3^SG	
pus		ADV	
.		.	
E		CONJ	
dixem		VBDI^1^PL	
nós		PRO^1^PL	
:		:	
Déus		N	
ho		PRO^A^NTR	
vuyla		VBPS^3^PL	
,		COMMA	
mas		CONJ	
nós		PRO^1^PL	
havem		VBPI^1^PL	
paor		N	
que		C	
no		NEG	
·ns		PRO^RFL^1^PL	
en		PRO^ADV	
penidam		VBPS^1^PL	
.		.	
E		CONJ	
començam		VBDI^1^PL	
l’		D	
encant		N	
de		P	
fer		VB	
,		COMMA	
e		CONJ	
començà		VBDI^3^SG	
·s		PRO^RFL^3^SG	
a		P	
Carnestoltes		NPR	
e		CONJ	
durà		VBDI^3^SG	
tro		P	
a		P	
Pasqua		N	
.		.	
E		CONJ	
,		COMMA	
quant		C	
aquest		D^DEM	
encant		N	
fo		VBDI^3^SG	
feyt		VNI	
,		COMMA	
cuydaren		VBDI^3^PL	
-se		PRO^RFL^3^PL	
los		D	
cavalers		N	
e		CONJ	
·l		D	
poble		N	
que		C	
hom		MAN	
los		PRO^D^3^PL	
donàs		VBDS^3^SG	
part		N	
d’		P	
açò		PRO^3^SG	
,		COMMA	
e		CONJ	
cascú		PRO^Q	
comprà		VBDI^3^SG	
sa		D^POS	
part		N	
,		COMMA	
e		CONJ	
no		NEG	
volien		VBDI^3^PL	
fer		VB	
les		D	
pagues		N	
.		.	
E		CONJ	
·ls		D	
cavalers		N	
meteren		VBDI^3^PL	
-se		PRO^RFL^3^PL	
ab		P	
lo		D	
poble		N	
en		P	
·i·		NUM	
e		CONJ	
deÿen		VBDI^3^PL	
per		P	
la		D	
vila		N	
tuyt		PRO^Q	
:		:	
Mal		NPR	
està		VBPI^3^SG	
,		COMMA	
mal		N	
està!		VBPI^3^SG	
e		CONJ	
sobre		P	
açò		PRO^3^SG	
mogueren		VBDI^3^PL	
-se		PRO^RFL^3^PL	
per		P	
sí		ADV	
,		COMMA	
e		CONJ	
cridaren		VBDI^3^PL	
a		P	
·i_a·		D^Q	
vou		N	
:		:	
Anem		VBI^1^PL	
barrejar		VB	
la		D	
casa		N	
de		P	
Gil		NPR	
d’		P	
Alagó		NPR	
.		.	
E		CONJ	
anaren		VBDI^3^PL	
là		ADV	
e		CONJ	
barrejaren		VBDI^3^PL	
-la		PRO^A^3^SG	
.		.	
E		CONJ	
,		COMMA	
quant		C	
nós		PRO^1^PL	
fom		VBDI^1^PL	
exits		VNI	
de		P	
fora		ADV	
a		P	
éls		PRO^3^PL	
